Model,Total Runs,Total Runtime (s),CO2 Emissions (kg),CO2 per Inference (kg),Runtime per Inference (s),GPU Hours,Estimated kWh per Inference
gpt2,25,13.4301,7.40E-05,3.00E-06,0.537204,0.003731,1.00E-05
gpt2-medium,25,23.6615,0.000159,6.00E-06,0.94646,0.006573,1.80E-05
gpt2-large,25,34.3699,0.000266,1.10E-05,1.374796,0.009547,2.70E-05
TinyLlama-1.1B-Chat-v1.0,25,2.4115,2.10E-05,1.00E-06,0.09646,0.00067,2.00E-06
Qwen2.5-1.5B-Instruct,25,54.281,0.000603,2.40E-05,2.17124,0.015078,4.20E-05
Mistral-7B-Instruct-v0.3,25,95.2802,0.00106,4.20E-05,3.811208,0.026467,7.40E-05
