Model,Total Runs,Total Runtime (s),Runtime per Inference (s),CO2 Emissions (kg),CO2 per Inference (kg),Estimated kWh per Inference,GPU Hours
FP32,25,2.2043,0.088172,3.9456804280454536e-05,1.5782721712181814e-06,6.376069666161851e-06,0.0006123055555555555
FP16,25,43.02239012718201,1.7208956050872803,0.0005372063154322,2.1488252617288e-05,4.74751796589e-05,0.0119506639242172
BitsAndBytes 4-bit (NF4),25,68.51838040351868,2.740735216140747,0.0007933448719599,3.1733794878396e-05,7.0111220299904e-05,0.0190328834454218
Dynamic INT8,25,120.36570262908936,4.814628105163575,0.001343463094112,5.373852376448e-05,0.0001187274794168,0.0334349173969692
BitsAndBytes INT8,25,157.65126752853394,6.306050701141357,0.0017330583032983,6.932233213193201e-05,0.0001531576452935,0.043792018757926
