Model,Total Runs,Total Runtime (s),CO2 Emissions (kg),CO2 per Inference (kg),Runtime per Inference (s),GPU Hours,Estimated kWh per Inference
gpt2,25,13.1031,0.0001655169888694,6.620679554776001e-06,0.524124,0.0036397499999999998,1.3938272746896844e-05
gpt2-medium,25,22.973,0.0003546278282881,1.4185113131524e-05,0.91892,0.006381388888888889,2.9863396066366317e-05
gpt2-large,25,34.1321,0.0006055833301507,2.4223333206028e-05,1.365284,0.00948113888888889,5.099649096005895e-05
TinyLlama-1.1B-Chat-v1.0,25,2.4338,4.8694345355359766e-05,1.9477738142143907e-06,0.09735200000000001,0.0006760555555555556,4.100576450977665e-06
